기간	구분	성별	합계	20세미만	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50~54세	55~59세	60~64세	65~69세	70~74세	75~79세	80~84세	85세이상
2018	성북구	남자	24,777	510	3,628	4,655	2,758	2,084	1,603	1,966	1,728	1,727	1,441	918	712	539	314	194
2018	성북구	여자	30,359	1,106	6,516	3,823	2,119	1,579	1,240	1,502	1,219	1,578	1,984	1,763	1,943	1,894	1,312	781
2018	강북구	계	40,872	324	2,556	3,895	3,225	3,080	2,632	3,352	3,242	3,827	3,885	3,176	2,793	2,598	1,504	783
2018	강북구	남자	18,508	59	599	1,891	1,877	1,852	1,562	1,991	1,866	1,988	1,745	1,140	794	637	367	140
2018	강북구	여자	22,364	265	1,957	2,004	1,348	1,228	1,070	1,361	1,376	1,839	2,140	2,036	1,999	1,961	1,137	643
2018	도봉구	계	30,848	194	1,356	2,105	2,180	2,276	2,062	2,674	2,616	3,069	3,219	2,412	2,206	2,126	1,432	921
2018	도봉구	남자	13,586	41	320	1,054	1,281	1,339	1,166	1,507	1,492	1,527	1,353	879	663	473	286	205
2018	도봉구	여자	17,262	153	1,036	1,051	899	937	896	1,167	1,124	1,542	1,866	1,533	1,543	1,653	1,146	716
2018	노원구	계	51,280	854	5,541	4,512	3,343	3,333	3,015	3,574	3,321	4,107	4,660	3,955	3,729	3,518	2,365	1,453
2018	노원구	남자	21,674	364	2,375	2,644	2,022	1,875	1,615	1,944	1,698	1,797	1,732	1,213	980	767	407	241
2018	노원구	여자	29,606	490	3,166	1,868	1,321	1,458	1,400	1,630	1,623	2,310	2,928	2,742	2,749	2,751	1,958	1,212
2018	은평구	계	48,888	235	2,066	5,404	5,345	4,631	3,664	4,054	3,458	4,013	4,287	3,279	3,104	2,743	1,686	919
2018	은평구	남자	21,694	89	683	2,503	2,960	2,563	1,945	2,280	1,879	1,922	1,738	1,118	855	642	334	183
2018	은평구	여자	27,194	146	1,383	2,901	2,385	2,068	1,719	1,774	1,579	2,091	2,549	2,161	2,249	2,101	1,352	736
2018	서대문구	계	44,795	831	7,947	8,048	4,591	3,275	2,512	2,672	2,131	2,398	2,545	1,995	1,950	1,874	1,317	709
2018	서대문구	남자	19,553	266	2,544	4,213	2,530	1,747	1,381	1,475	1,205	1,175	1,026	712	518	408	237	116
2018	서대문구	여자	25,242	565	5,403	3,835	2,061	1,528	1,131	1,197	926	1,223	1,519	1,283	1,432	1,466	1,080	593
2018	마포구	계	56,837	782	6,067	11,271	9,031	6,456	4,274	3,784	2,715	2,516	2,351	1,995	1,891	1,804	1,210	690
2018	마포구	남자	24,992	361	2,188	5,191	4,532	3,299	2,116	1,978	1,453	1,188	876	616	457	390	226	121
2018	마포구	여자	31,845	421	3,879	6,080	4,499	3,157	2,158	1,806	1,262	1,328	1,475	1,379	1,434	1,414	984	569
2018	양천구	계	34,304	149	1,047	2,894	3,307	3,127	2,572	2,853	2,763	3,265	3,377	2,667	2,191	1,877	1,306	909
2018	양천구	남자	15,827	77	413	1,432	1,929	1,801	1,507	1,634	1,543	1,691	1,415	958	636	421	223	147
2018	양천구	여자	18,477	72	634	1,462	1,378	1,326	1,065	1,219	1,220	1,574	1,962	1,709	1,555	1,456	1,083	762
2018	강서구	계	73,011	270	3,526	11,614	10,521	7,969	5,481	5,219	4,236	5,176	5,512	4,042	3,450	2,825	1,875	1,295
2018	강서구	남자	33,780	119	955	4,949	5,921	4,621	3,146	3,044	2,378	2,514	2,255	1,492	1,084	719	333	250
2018	강서구	여자	39,231	151	2,571	6,665	4,600	3,348	2,335	2,175	1,858	2,662	3,257	2,550	2,366	2,106	1,542	1,045
2018	구로구	계	44,151	236	2,184	6,136	5,425	4,288	3,324	3,623	3,040	3,528	3,406	2,629	2,328	1,970	1,311	723
2018	구로구	남자	21,887	92	704	2,873	3,213	2,638	2,058	2,329	1,943	1,905	1,534	977	752	475	268	126
2018	구로구	여자	22,264	144	1,480	3,263	2,212	1,650	1,266	1,294	1,097	1,623	1,872	1,652	1,576	1,495	1,043	597
2018	금천구	계	34,564	104	1,552	5,105	4,131	3,075	2,382	2,837	2,927	3,257	2,787	2,079	1,624	1,450	815	439
2018	금천구	남자	19,079	47	529	2,870	2,761	2,087	1,552	1,899	1,924	1,952	1,413	855	547	372	193	78
2018	금천구	여자	15,485	57	1,023	2,235	1,370	988	830	938	1,003	1,305	1,374	1,224	1,077	1,078	622	361
2018	영등포구	계	53,477	186	2,919	10,054	8,547	5,512	3,656	3,894	3,264	3,538	3,229	2,517	2,148	1,933	1,286	794
2018	영등포구	남자	27,090	82	847	4,860	4,995	3,299	2,188	2,438	2,088	2,070	1,585	1,037	726	491	251	133
2018	영등포구	여자	26,387	104	2,072	5,194	3,552	2,213	1,468	1,456	1,176	1,468	1,644	1,480	1,422	1,442	1,035	661
2018	동작구	계	56,872	1,108	7,600	11,880	7,798	5,075	3,357	3,294	2,533	2,889	2,885	2,365	2,218	1,914	1,252	704
2018	동작구	남자	27,452	499	3,235	6,381	4,428	2,955	1,944	1,926	1,466	1,408	1,134	712	573	433	229	129
2018	동작구	여자	29,420	609	4,365	5,499	3,370	2,120	1,413	1,368	1,067	1,481	1,751	1,653	1,645	1,481	1,023	575
2018	관악구	계	112,733	1,048	13,855	30,179	18,649	10,804	6,507	6,054	4,775	4,824	4,535	3,433	3,144	2,634	1,476	816
2018	관악구	남자	59,445	490	5,417	16,273	11,355	6,662	4,222	4,026	3,108	2,594	2,033	1,242	947	618	316	142
2018	관악구	여자	53,288	558	8,438	13,906	7,294	4,142	2,285	2,028	1,667	2,230	2,502	2,191	2,197	2,016	1,160	674
2018	서초구	계	41,137	504	2,517	6,108	6,477	5,323	3,632	3,560	2,441	2,335	2,352	1,785	1,520	1,201	784	598
2018	서초구	남자	18,082	210	856	2,649	3,259	2,661	1,855	1,910	1,244	1,081	883	547	395	271	149	112
2018	서초구	여자	23,055	294	1,661	3,459	3,218	2,662	1,777	1,650	1,197	1,254	1,469	1,238	1,125	930	635	486
2018	강남구	계	62,727	421	3,182	9,982	10,967	9,206	5,786	4,805	3,342	3,071	3,146	2,614	2,299	1,733	1,188	985
2018	강남구	남자	26,718	178	1,006	4,149	5,045	4,338	2,869	2,604	1,763	1,440	1,107	791	668	378	210	172
2018	강남구	여자	36,009	243	2,176	5,833	5,922	4,868	2,917	2,201	1,579	1,631	2,039	1,823	1,631	1,355	978	813
2018	송파구	계	63,451	286	2,684	9,374	10,066	7,975	5,462	5,118	3,887	4,243	4,320	3,176	2,557	1,996	1,328	979
2018	송파구	남자	28,740	159	900	4,092	5,162	4,017	2,961	2,828	2,166	2,020	1,694	1,067	751	526	238	159
2018	송파구	여자	34,711	127	1,784	5,282	4,904	3,958	2,501	2,290	1,721	2,223	2,626	2,109	1,806	1,470	1,090	820
2018	강동구	계	42,126	144	1,580	4,861	4,839	4,242	3,261	3,576	3,171	3,934	3,852	2,773	2,253	1,765	1,126	749
2018	강동구	남자	20,404	64	489	2,273	2,700	2,468	1,904	2,177	1,961	2,036	1,707	1,045	723	489	241	127
2018	강동구	여자	21,722	80	1,091	2,588	2,139	1,774	1,357	1,399	1,210	1,898	2,145	1,728	1,530	1,276	885	622
