기간	자치구	성별	합계	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택이외의 거처
2018	노원구	남자	21,674	20,170	6,159	11,058	276	2,148	529	1,504
2018	노원구	여자	29,606	28,673	5,630	20,057	363	2,281	342	933
2018	은평구	계	48,888	42,370	17,252	7,428	907	15,721	1,062	6,518
2018	은평구	남자	21,694	18,568	8,202	2,836	337	6,631	562	3,126
2018	은평구	여자	27,194	23,802	9,050	4,592	570	9,090	500	3,392
2018	서대문구	계	44,795	40,211	21,768	8,261	1,075	7,608	1,499	4,584
2018	서대문구	남자	19,553	17,477	10,025	3,048	410	3,261	733	2,076
2018	서대문구	여자	25,242	22,734	11,743	5,213	665	4,347	766	2,508
2018	마포구	계	56,837	46,117	20,762	11,018	663	11,909	1,765	10,720
2018	마포구	남자	24,992	20,435	10,135	4,092	275	5,035	898	4,557
2018	마포구	여자	31,845	25,682	10,627	6,926	388	6,874	867	6,163
2018	양천구	계	34,304	31,433	12,097	9,315	711	8,716	594	2,871
2018	양천구	남자	15,827	14,281	6,487	3,413	268	3,790	323	1,546
2018	양천구	여자	18,477	17,152	5,610	5,902	443	4,926	271	1,325
2018	강서구	계	73,011	52,875	15,968	21,221	823	13,963	900	20,136
2018	강서구	남자	33,780	24,433	8,454	8,693	326	6,452	508	9,347
2018	강서구	여자	39,231	28,442	7,514	12,528	497	7,511	392	10,789
2018	구로구	계	44,151	32,586	14,196	11,042	1,235	5,248	865	11,565
2018	구로구	남자	21,887	15,663	7,777	4,419	467	2,506	494	6,224
2018	구로구	여자	22,264	16,923	6,419	6,623	768	2,742	371	5,341
2018	금천구	계	34,564	27,251	14,702	6,178	621	4,813	937	7,313
2018	금천구	남자	19,079	14,584	8,231	3,041	262	2,458	592	4,495
2018	금천구	여자	15,485	12,667	6,471	3,137	359	2,355	345	2,818
2018	영등포구	계	53,477	36,393	18,580	11,139	321	4,705	1,648	17,084
2018	영등포구	남자	27,090	17,778	9,670	4,646	126	2,435	901	9,312
2018	영등포구	여자	26,387	18,615	8,910	6,493	195	2,270	747	7,772
2018	동작구	계	56,872	52,747	31,577	9,061	796	9,050	2,263	4,125
2018	동작구	남자	27,452	24,995	16,139	3,335	338	4,017	1,166	2,457
2018	동작구	여자	29,420	27,752	15,438	5,726	458	5,033	1,097	1,668
2018	관악구	계	112,733	93,520	59,159	11,808	1,095	11,742	9,716	19,213
2018	관악구	남자	59,445	49,304	32,561	4,945	472	5,598	5,728	10,141
2018	관악구	여자	53,288	44,216	26,598	6,863	623	6,144	3,988	9,072
2018	서초구	계	41,137	35,090	13,202	11,547	740	8,131	1,470	6,047
2018	서초구	남자	18,082	14,918	6,110	4,176	280	3,585	767	3,164
2018	서초구	여자	23,055	20,172	7,092	7,371	460	4,546	703	2,883
2018	강남구	계	62,727	52,807	19,038	18,614	1,045	11,888	2,222	9,920
2018	강남구	남자	26,718	21,733	8,593	6,715	433	4,935	1,057	4,985
2018	강남구	여자	36,009	31,074	10,445	11,899	612	6,953	1,165	4,935
2018	송파구	계	63,451	52,233	15,912	13,129	659	20,698	1,835	11,218
2018	송파구	남자	28,740	23,191	8,089	4,754	257	9,100	991	5,549
2018	송파구	여자	34,711	29,042	7,823	8,375	402	11,598	844	5,669
2018	강동구	계	42,126	36,696	18,318	8,481	391	8,196	1,310	5,430
2018	강동구	남자	20,404	17,405	9,655	3,235	152	3,608	755	2,999
2018	강동구	여자	21,722	19,291	8,663	5,246	239	4,588	555	2,431
